"x0","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","x23","x24"
0.150000000000716,0.750000000000739,-0.874999999999915,0.35000000000025,0,0.37500000000108,0.0249999999994088,0,0,0,0,0,0,0,0,-31.2749999999994,0.0999999999990564,-0.625000000000142,0.175000000000125,0,0,0,0,0,0
-0.249999999999773,-0.799999999999557,0.200000000000244,-0.150000000000006,0,0.0249999999994088,-30.8999999999997,0,0,0,0,0,0,0,0,31.2749999999994,-0.0499999999988177,0.300000000000011,-0.225000000000364,0,0,0,0,0,0
-0.175000000000125,0.974999999999682,0.374999999999659,0.174999999999415,0,32.3000000000008,30.9250000000006,0,0,0,0,0,0,0,0,-0.225000000000364,0.0749999999996476,0.874999999999915,0.225000000000364,0,0,0,0,0,0
0.32499999999942,-0.925000000000864,0.475000000000136,31.3000000000002,0,-32.8500000000005,0.499999999999545,0,0,0,0,0,0,0,0,0.100000000000477,0.249999999999773,31.0499999999998,-0.600000000000023,0,0,0,0,0,0
-0.175000000000125,-31.8999999999988,0,-0.0999999999997669,0,0.274999999999181,0.525000000000375,0,0,0,0,0,0,0,0,-0.249999999999773,-0.0249999999994088,-30.9750000000001,0.300000000000011,0,0,0,0,0,0
-0.175000000000125,32.3249999999987,0.0750000000003581,1.4249999999997,0,0.125000000001307,0.0249999999994088,0,0,0,0,0,0,0,0,0.249999999999773,-0.200000000000955,0.200000000000244,-31.4000000000007,0,0,0,0,0,0
0.35000000000025,-0.0999999999990564,0.0250000000001194,0.0750000000003581,0,0.0249999999994088,0.400000000000489,0,0,0,0,0,0,0,0,-31.0749999999999,0.225000000000364,0.0500000000002387,30.8000000000007,0,0,0,0,0,0
0.275000000000603,-0.549999999999784,-0.400000000000489,30.9999999999995,0,-0.600000000000023,0.0749999999996476,0,0,0,0,0,0,0,0,-0.275000000000603,-0.275000000000603,-0.7000000000005,1.02499999999992,0,0,0,0,0,0
0.475000000000136,0.600000000000023,0.550000000000495,-31.5249999999999,0,32.8000000000003,-0.100000000000477,0,0,0,0,0,0,0,0,-0.300000000000011,0.200000000000955,-0.649999999999551,-0.35000000000025,0,0,0,0,0,0
0.0249999999994088,-0.175000000000125,-0.200000000000244,0.475000000000136,0,0.0999999999990564,-0.199999999999534,0,0,0,0,0,0,0,0,0.35000000000025,0.424999999999898,0.200000000000244,0.750000000000739,0,0,0,0,0,0
